Spec., Epochs, Batch Size, Learning Rate, No. of Clauses, No. of Inputs, No. of Outputs, No. of Counter Example Loops, Skolem Function Vector, Result, Time, Final Loss, Loss Drop, Accuracy
sample4.v, 107, 4, 0.5, 5, 3, 1, 0, (i0 | i1 | ~i2) & (i0 | i2 | ~i1) & (i1 | i2 | ~i0 | ~i1 | ~i2) & (i1 | i2 | ~i0) & (~i0 | ~i1 | ~i2), Valid, 10.363821744918823, 0.3591099297610035, 0.19063787376424907, 1.0
sample4.v, 232, 4, 0.5, 5, 3, 1, 0, (i0 | i1 | ~i2) & (i0 | i2 | ~i1) & (i1 | i2 | ~i0 | ~i1 | ~i2) & (i1 | i2 | ~i0) & (~i0 | ~i1 | ~i2), Valid, 26.33541202545166, 0.3372836571369661, 0.20904644990048898, 1.0
sample4.v, 80, 4, 0.5, 5, 3, 1, 0, (i0 | i1 | ~i2) & (i0 | i2 | ~i1) & (i1 | i2 | ~i0) & (i1 | ~i1 | ~i2) & (~i0 | ~i1 | ~i2), Valid, 7.738054037094116, 0.48289994329868546, 0.05993737634576457, 1.0
sample4.v, 104, 4, 0.5, 5, 3, 1, 0, (i0 | i1 | ~i2) & (i0 | i2 | ~i1) & (i1 | i2 | ~i0) & (~i0 | ~i1 | ~i2), Valid, 9.981545209884644, 0.23660792312704448, 0.31156460015970844, 1.0
sample4.v, 82, 4, 0.5, 10, 3, 1, 0, (i0 | i1 | i2 | ~i0 | ~i1 | ~i2) & (i0 | i1 | ~i2) & (i0 | i2 | ~i1) & (i1 | i2 | ~i0) & (~i0 | ~i1 | ~i2), Valid, 7.959433555603027, 0.4086859026044882, 0.15041711898343912, 1.0
sample4.v, 68, 4, 0.5, 10, 3, 1, 0, (i0 | i1 | i2 | ~i0 | ~i1 | ~i2) & (i0 | i1 | ~i0 | ~i1 | ~i2) & (i0 | i1 | ~i2) & (i0 | i2 | ~i0 | ~i1 | ~i2) & (i0 | i2 | ~i1) & (i1 | i2 | ~i0) & (~i0 | ~i1 | ~i2), Valid, 6.190964698791504, 0.25034683725926077, 0.3111795967413349, 1.0
sample4.v, 96, 4, 0.5, 10, 3, 1, 0, (i0 | i1 | i2 | ~i0 | ~i1 | ~i2) & (i0 | i1 | ~i2) & (i0 | i2 | ~i1) & (i1 | i2 | ~i0 | ~i1 | ~i2) & (i1 | i2 | ~i0 | ~i1) & (i1 | i2 | ~i0) & (~i0 | ~i1 | ~i2), Valid, 9.140303611755371, 0.2928614688203995, 0.25451606652532416, 1.0
sample4.v, 74, 4, 0.5, 10, 3, 1, 0, (i0 | i1 | i2 | ~i0 | ~i1 | ~i2) & (i0 | i1 | ~i2) & (i0 | i2 | ~i1) & (i1 | i2 | ~i0 | ~i1 | ~i2) & (i1 | i2 | ~i0) & (i1 | ~i0 | ~i1 | ~i2) & (~i0 | ~i1 | ~i2), Valid, 7.081856966018677, 0.20841661096773534, 0.36272303354674695, 1.0
sample4.v, 99, 4, 0.5, 10, 3, 1, 0, (i0 | i1 | i2 | ~i0 | ~i1 | ~i2) & (i0 | i1 | i2 | ~i1 | ~i2) & (i0 | i1 | ~i2) & (i0 | i2 | ~i1) & (i1 | i2 | ~i0) & (~i0 | ~i1 | ~i2), Valid, 9.495516538619995, 0.22354874898862465, 0.3364283421194312, 1.0
sample4.v, 72, 4, 0.5, 10, 3, 1, 0, (i0 | i1 | i2 | ~i0 | ~i1 | ~i2) & (i0 | i1 | ~i2) & (i0 | i2 | ~i0 | ~i1 | ~i2) & (i0 | i2 | ~i1) & (i1 | i2 | ~i0 | ~i1 | ~i2) & (i1 | i2 | ~i0) & (i2 | ~i0 | ~i1 | ~i2) & (~i0 | ~i1 | ~i2), Valid, 6.996398448944092, 0.3601701460031693, 0.2086542823247256, 1.0
