Epochs, No. of Clauses, No. of Counter Example Loops, Skolem Function Vector, Result
10, 5, 5, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
-,-,-,-,-
10, 10, 3, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
10, 10, 1, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
10, 10, 2, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
10, 10, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
10, 10, 0, {1: '(i_0 | ~i_0)\n'}, Valid
10, 10, 3, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
10, 10, 0, {1: '(i_0 | ~i_0)\n'}, Valid
10, 10, 4, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
10, 10, 5, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
10, 10, 2, {1: '(~i_0)\n'}, Valid
-,-,-,-,-
10, 50, 97, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
10, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
10, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
10, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
10, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
10, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
10, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
10, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
10, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
10, 50, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
-,-,-,-,-
10, 100, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
10, 100, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
10, 100, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
10, 100, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
10, 100, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
10, 100, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
10, 100, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
10, 100, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
10, 100, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
10, 100, 100, {1: '(i_0 | ~i_0) & (i_0) & (~i_0)\n'}, Counter Example Loop Exceeded
-,-,-,-,-
50, 1, 0, {1: '(~i_0)\n'}, Valid
50, 1, 0, empty string, Invalid
50, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid
50, 1, 0, empty string, Invalid
50, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid
50, 1, 0, empty string, Invalid
50, 1, 0, empty string, Invalid
50, 1, 0, empty string, Invalid
50, 1, 0, {1: '(~i_0)\n'}, Valid
50, 1, 0, {1: '(i_0 | ~i_0)\n'}, Valid
-,-,-,-,-
50, 2, 0, empty string, Invalid
50, 2, 0, empty string, Invalid
50, 2, 0, empty string, Invalid
50, 2, 0, {1: '(~i_0)\n'}, Valid
50, 2, 0, {1: '(~i_0)\n'}, Valid
50, 2, 0, {1: '(~i_0)\n'}, Valid
50, 2, 0, {1: '(~i_0)\n'}, Valid
50, 2, 0, {1: '(~i_0)\n'}, Valid
50, 2, 0, {1: '(i_0 | ~i_0)\n'}, Valid
50, 2, 0, empty string, Invalid
-,-,-,-,-
50, 3, 0, {1: '(i_0 | ~i_0)\n'}, Valid
50, 3, 0, {1: '(~i_0)\n'}, Valid
50, 3, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
50, 3, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
50, 3, 0, empty string, Invalid
50, 3, 0, empty string, Invalid
50, 3, 2, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
50, 3, 1, {1: '(~i_0)\n'}, Valid
50, 3, 0, {1: '(i_0 | ~i_0) & (~i_0)\n'}, Valid
50, 3, 1, {1: '(i_0 | ~i_0)\n'}, Valid
-,-,-,-,-
50, 4, 1, {1: '(~i_0)\n'}, Valid
50, 4, 1, {1: '(i_0 | ~i_0)\n'}, Valid
50, 4, 6, {1: '(~i_0)\n'}, Valid
50, 4, 1, {1: '(~i_0)\n'}, Valid
50, 4, 0, {1: '(i_0 | ~i_0)\n'}, Valid
50, 4, 1, {1: '(~i_0)\n'}, Valid
50, 4, 0, empty string, Invalid
50, 4, 0, {1: '(i_0 | ~i_0)\n'}, Valid
